RECORD_ID,POLICY_NUMBER,NOTIFICATION_DATE,ACTION_TYPE,POLICY_TYPE,REASON_SOURCE,INDICATOR_60D,ZIP_CODE,EFFECTIVE_DATE,REASON_CODES,THIRD_PARTY_IND,AERIAL_IMAGERY
TFB-100000,POL-528132,2026-02-20,D,D,C,0,75201,2026-03-23,DI,N,0
TFB-100001,POL-642356,2026-02-25,C,C,C,0,75201,2026-03-12,H,N,0
TFB-100002,POL-519880,2026-01-26,C,H,C,1,79901,2026-04-07,BDE,N,0
TFB-100003,POL-681963,2026-01-21,C,D,C,1,76710,2026-03-31,BEF,Y,0
TFB-100004,POL-562468,2026-02-20,NR,T,C,0,77002,2026-04-20,DFJ,Y,0
TFB-100005,POL-998849,2026-01-22,C,H,B,0,78701,2026-03-04,K,Y,1
TFB-100006,POL-549589,2026-04-20,NR,T,C,0,78701,2026-05-29,EI,N,0
TFB-100007,POL-842831,2026-04-03,NR,D,B,0,76701,2026-05-30,K,N,0
TFB-100008,POL-833304,2026-01-11,D,C,B,0,77002,2026-02-02,HIL,N,0
TFB-100009,POL-598143,2026-04-19,C,D,B,1,79901,2026-07-09,AG,N,0
TFB-100010,POL-933088,2026-03-02,C,D,A,0,78205,2026-03-28,HJL,Y,0
TFB-100011,POL-983510,2026-02-10,C,T,B,0,76712,2026-04-08,B,N,0
TFB-100012,POL-624436,2026-02-08,NR,T,A,0,75201,2026-04-04,A,Y,0
TFB-100013,POL-768565,2026-02-08,C,H,B,0,78701,2026-03-30,CF,N,0
TFB-100014,POL-636824,2026-02-10,NR,C,B,0,76712,2026-03-03,F,Y,0
TFB-100015,POL-566190,2026-01-08,NR,C,B,1,78701,2026-03-18,DFG,Y,0
TFB-100016,POL-533575,2026-03-14,NR,D,C,0,79901,2026-04-22,DEK,Y,0
TFB-100017,POL-838713,2026-03-11,D,T,A,0,77002,2026-04-17,A,Y,0
TFB-100018,POL-530935,2026-02-19,C,D,A,0,78205,2026-04-01,FJ,Y,0
